WKT,name,description
"POINT (-74.5303665 39.4932579)",Exit_Stairs_C,0-1, C_WING_MAIN:D_WING_MAIN:College_Walk++
"POINT (-74.5326709 39.491862)",Patio Stairway,
"POINT (-74.5297073 39.4932785)",Exit_Stairs_A,0-1, A_WING_ENTRANCE:A_WING_MAIN
"POINT (-74.5310407 39.4933563)",CONNECTOR_STAIRS_D_TO_F,0-1,Lower_00s_Entrance_C
"POINT (-74.529905 39.493349)",Inside_B_Stairs,0-1,Lower_00s_Entrance_A:Einstein_Bros_Entrance:B_WING_MAIN:A_WING_MAIN
"POINT (-74.5302199 39.4929632)",Out_Stairs_B,0-1,Einstein_Bros_Entrance:College_Walk_B:College_Walk_C
"POINT (-74.5307903 39.4932548)",Inside_Stairs_D,0-1,D_WING_MAIN:D_WING_ENTRANCE_1:D_WING_ENTRANCE_2:D_WING_CONNECTOR
"POINT (-74.5313517 39.4924165)",F-Wing Stairway,
"POINT (-74.5310501 39.4931316)",F_Wing_Exit_Stair,0-1, College_Walk_E:
"POINT (-74.5309079 39.4928729)",F_Wing_Out_Stair,
"POINT (-74.5311588 39.4927531)",F_Wing_Stair_Atrium,
"POINT (-74.5317654 39.4920672)",H-Wing Stairway,
"POINT (-74.5321855 39.4917025)",Out_Stair_J_Wing,
"POINT (-74.5331685 39.4918568)",K-Wing Stairway,
"POINT (-74.5331055 39.491484)",K-Wing Stairway (Outside),
"POINT (-74.5317912 39.4926379)",G Wing Staircase,
"POINT (-74.5321962 39.4921426)",I-Wing Stairway,
"POINT (-74.5330309 39.4918143)",K_WING_MAIN (200s),
"LINESTRING (-74.5330309 39.4918143, -74.5331055 39.491484)",K-Wing Stairway (Outside), K_WING_MAIN (200s),
"LINESTRING (-74.5331685 39.4918568, -74.5330309 39.4918143)",K-Wing Stairway, K_WING_MAIN (200s),
"LINESTRING (-74.5307872 39.4933585, -74.530819 39.4931995)",D_WING_ENTRANCE_1, D_WING_MAIN,
"LINESTRING (-74.5307872 39.4933585, -74.5307903 39.4932548)",D_WING_MAIN, Inside_Stairs_D,
