"POINT (-74.5298014 39.4933532)",A_WING_MAIN,0, A_WING_ENTRANCE:B_WING_MAIN:Exit_Stairs_A:Inside_B_Stairs
"POINT (-74.5289937 39.4933873)",Entrance_AaS,0,Shuttle_Drop_Off:College_Walk_A:A_WING_ENTRANCE
"POINT (-74.5296858 39.4933495)",A_WING_ENTRANCE,0,A_WING_MAIN:College_Walk_B:Exit_Stairs_A
"POINT (-74.5300134 39.4933424)",B_WING_MAIN (00s),0-1, B_Wing_Entrance:Inside_B_Stairs:Einstein_Bros_Entrance:C_WING_MAIN
"POINT (-74.530071 39.4929713)",B_Wing_Entrance,0,College_Walk_C:Out_Stairs_B:B_WING_MAIN
"POINT (-74.5303568 39.4933791)",C_WING_MAIN (00s),0-1, B_WING_MAIN:Einstein_Bros_Entrance:Exit_Stairs_C:D_WING_MAIN
"POINT (-74.5303044 39.4932996)",Einstein_Bros_Entrance,0,College_Walk_C:Out_Stair_B:Inside_B_Stairs:B_WING_MAIN:C_WING_MAIN
"LINESTRING (-74.5313517 39.4924165, -74.5313214 39.4923899)",Line 34,
"LINESTRING (-74.5321855 39.4917025, -74.5324753 39.4920361)",Line 35,
"LINESTRING (-74.5321529 39.4917603, -74.5324753 39.4920361)",Line 36,
"LINESTRING (-74.5321962 39.4921426, -74.531846 39.4919311)",Line 38,
"LINESTRING (-74.5317511 39.4924826, -74.5318583 39.4925991)",G_WING_ENTRANCE_1, G_WING_MAIN,
"LINESTRING (-74.5317912 39.4926379, -74.5318608 39.4925506)",G_WING_MAIN (200s), G Wing Staircase,
"LINESTRING (-74.5318608 39.4925506, -74.5320566 39.4923591)",G_WING_MAIN (200s), H_WING_MAIN (200s),
"LINESTRING (-74.5320566 39.4923591, -74.5323688 39.4921583)",H_WING_MAIN (200s), I-Wing (200s),
"LINESTRING (-74.5313563 39.49289, -74.5318608 39.4925506)",F_WING_MAIN(200s), G_WING_MAIN(200s),
"LINESTRING (-74.531702 39.4921365, -74.5320528 39.4924087)",H_Wing_Entrace (100s), H_WING_MAIN,
